,,,,,Toilet-trained? Yes or No,Able to feed themselves independently? Yes or No,Attended some form of pre-school provision? Yes or No,Communication & Language (CLL),Communication & Language (CLL),"Personal, Social & Emotional Devt. (PSED)","Personal, Social & Emotional Devt. (PSED)","Personal, Social & Emotional Devt. (PSED)",Physical Devt. (PD),Physical Devt. (PD)
DfE Number of setting,UPN,Forename,Surname,Date of birth (DD/MM/YYYY),,,,"Listening, Attention & Understanding",Speaking,Self-Regulation,Manging Self,Building Relationships,Gross Motor skills,Fine Motor skills
123456,W963038018110,Ava,Jackson,09/11/2021,No,Yes,No,Range 5,Range 2,Range 1,Range 6,Range 4,Range 4,Range 6
123456,W335713217972,Sophia,White,14/09/2021,No,Yes,Yes,Range 3,Range 4,Range 2,Range 6,Range 1,Range 3,Range 4
123456,W602342507228,Isabella,Williams,02/09/2021,Yes,Yes,No,Range 1,Range 1,Range 2,Range 6,Range 5,Range 3,Range 4
123456,W869133896704,Noah,Robinson,04/05/2022,Yes,Yes,No,Range 6,Range 3,Range 4,Range 1,Range 1,Range 6,Range 5
123456,W137128286971,Lily,Wright,07/12/2021,Yes,No,No,Range 2,Range 6,Range 4,Range 4,Range 4,Range 6,Range 4
123456,W533469671323,Oscar,Davies,11/04/2022,No,Yes,No,Range 6,Range 1,Range 3,Range 6,Range 3,Range 2,Range 4
123456,W185612590644,Isabella,Robinson,13/10/2021,Yes,Yes,No,Range 4,Range 2,Range 1,Range 1,Range 1,Range 5,Range 3
123456,W645731324704,Rosie,Hall,26/11/2021,No,No,Yes,Range 5,Range 5,Range 2,Range 3,Range 6,Range 5,Range 3
123456,W729412739653,Isabella,Green,16/03/2022,No,No,Yes,Range 3,Range 2,Range 4,Range 3,Range 1,Range 3,Range 1
123456,W193849017017,Jack,Jackson,28/07/2022,Yes,No,Yes,Range 1,Range 4,Range 2,Range 5,Range 2,Range 4,Range 6
123456,W452993861373,Noah,Smith,29/08/2022,Yes,Yes,No,Range 6,Range 2,Range 6,Range 6,Range 4,Range 6,Range 2
123456,W925009764768,Arthur,Evans,22/01/2022,Yes,Yes,No,Range 3,Range 1,Range 1,Range 1,Range 1,Range 5,Range 4
123456,W822052454903,Leo,Clarke,31/05/2022,Yes,No,No,Range 5,Range 1,Range 1,Range 3,Range 5,Range 1,Range 2
123456,W378858885450,Olivia,Green,07/09/2021,Yes,No,Yes,Range 1,Range 3,Range 4,Range 4,Range 1,Range 4,Range 3
123456,W637729891682,Leo,Smith,30/04/2022,No,No,Yes,Range 4,Range 4,Range 1,Range 3,Range 5,Range 5,Range 6
123456,W939859015064,Ava,Wood,27/07/2022,Yes,No,Yes,Range 1,Range 5,Range 5,Range 1,Range 1,Range 4,Range 5
123456,W283453644258,Ivy,Thompson,13/09/2021,No,No,No,Range 2,Range 6,Range 6,Range 4,Range 2,Range 3,Range 5
123456,W142577041168,Ava,Green,25/04/2022,Yes,No,Yes,Range 6,Range 5,Range 5,Range 1,Range 6,Range 5,Range 5
123456,W962310179077,Archie,Green,06/06/2022,No,Yes,Yes,Range 2,Range 4,Range 5,Range 6,Range 4,Range 4,Range 1
123456,W571637737493,Arthur,Robinson,15/06/2022,No,No,No,Range 4,Range 6,Range 5,Range 5,Range 3,Range 6,Range 3
123456,W728403498162,Noah,Thompson,22/08/2022,Yes,Yes,No,Range 4,Range 6,Range 3,Range 2,Range 1,Range 3,Range 1
123456,W164659216109,Lily,Smith,07/03/2022,Yes,Yes,No,Range 3,Range 2,Range 5,Range 2,Range 3,Range 4,Range 6
123456,W142603024249,Lily,White,10/07/2022,No,No,Yes,Range 6,Range 5,Range 5,Range 5,Range 5,Range 3,Range 4
123456,W583090763897,Mia,Taylor,15/04/2022,No,No,No,Range 2,Range 2,Range 6,Range 1,Range 2,Range 6,Range 3
123456,W997950890684,Jack,Roberts,13/02/2022,No,Yes,Yes,Range 5,Range 5,Range 6,Range 5,Range 6,Range 1,Range 3
123456,W287258622907,Archie,Clarke,11/01/2022,No,No,Yes,Range 4,Range 4,Range 4,Range 6,Range 4,Range 1,Range 3
123456,W948724914157,Arthur,Evans,24/05/2022,Yes,Yes,No,Range 2,Range 3,Range 5,Range 6,Range 5,Range 3,Range 2
123456,W111260463476,Oliver,Johnson,07/08/2022,Yes,Yes,No,Range 5,Range 3,Range 6,Range 3,Range 5,Range 3,Range 1
123456,W244596703731,Sophia,Evans,28/06/2022,No,Yes,Yes,Range 1,Range 1,Range 5,Range 6,Range 4,Range 3,Range 2
123456,W734837195014,Oliver,Davies,05/09/2021,No,Yes,Yes,Range 4,Range 5,Range 5,Range 3,Range 3,Range 5,Range 2
123456,W950878720416,Leo,Taylor,10/01/2022,No,Yes,No,Range 6,Range 6,Range 2,Range 1,Range 6,Range 6,Range 1
123456,W123140898670,Noah,Hall,12/05/2022,Yes,Yes,Yes,Range 1,Range 3,Range 1,Range 1,Range 6,Range 3,Range 2
123456,W936808920184,Muhammad,Johnson,26/03/2022,No,Yes,No,Range 2,Range 4,Range 5,Range 2,Range 4,Range 5,Range 5
123456,W869678749999,Arthur,Taylor,16/10/2021,Yes,No,No,Range 1,Range 2,Range 5,Range 5,Range 4,Range 2,Range 3
123456,W143043886098,Oliver,White,05/04/2022,Yes,Yes,No,Range 4,Range 6,Range 1,Range 5,Range 2,Range 1,Range 5
